OjoIzquierdo,OjoDerecho,ObjetoEnfocado,PosicionObjeto,Timestamp
"(0.000, 0.000, 0.000)","(0.000, 0.000, 0.000)",No Enfocado,"(-5.02, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:3457
"(0.552, 0.386, 0.000)","(0.540, 0.366, 0.000)",No Enfocado,"(-5.02, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:6525
"(0.000, 0.000, 0.000)","(0.000, 0.000, 0.000)",No Enfocado,"(-5.02, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:6931
"(0.501, 0.392, 0.000)","(0.485, 0.373, 0.000)",No Enfocado,"(-5.02, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:7185
"(0.497, 0.382, 0.000)","(0.486, 0.367, 0.000)",No Enfocado,"(-5.00, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:7389
"(0.501, 0.388, 0.000)","(0.483, 0.360, 0.000)",No Enfocado,"(-5.00, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:7559
"(0.501, 0.386, 0.000)","(0.489, 0.357, 0.000)",No Enfocado,"(-4.99, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:7718
"(0.502, 0.388, 0.000)","(0.485, 0.361, 0.000)",No Enfocado,"(-4.98, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:7871
"(0.502, 0.388, 0.000)","(0.485, 0.361, 0.000)",No Enfocado,"(-4.97, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:8025
"(0.502, 0.389, 0.000)","(0.488, 0.358, 0.000)",No Enfocado,"(-4.96, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:8177
"(0.503, 0.386, 0.000)","(0.489, 0.360, 0.000)",No Enfocado,"(-4.95, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:8328
"(0.501, 0.385, 0.000)","(0.489, 0.358, 0.000)",No Enfocado,"(-4.94, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:8479
"(0.502, 0.386, 0.000)","(0.490, 0.358, 0.000)",No Enfocado,"(-4.92, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:8616
"(0.504, 0.384, 0.000)","(0.489, 0.358, 0.000)",No Enfocado,"(-4.91, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:8763
"(0.502, 0.382, 0.000)","(0.490, 0.356, 0.000)",No Enfocado,"(-4.90, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:8904
"(0.503, 0.384, 0.000)","(0.490, 0.357, 0.000)",No Enfocado,"(-4.89, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:9044
"(0.503, 0.384, 0.000)","(0.490, 0.357, 0.000)",No Enfocado,"(-4.87, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:9187
"(0.504, 0.383, 0.000)","(0.492, 0.359, 0.000)",No Enfocado,"(-4.86, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:9330
"(0.505, 0.383, 0.000)","(0.494, 0.358, 0.000)",No Enfocado,"(-4.84, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:9471
"(0.505, 0.385, 0.000)","(0.494, 0.360, 0.000)",No Enfocado,"(-4.83, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:9611
"(0.504, 0.386, 0.000)","(0.489, 0.358, 0.000)",No Enfocado,"(-4.81, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:9754
"(0.483, 0.367, 0.000)","(0.464, 0.335, 0.000)",No Enfocado,"(-4.79, 1.40, 5.87)",2023 / 08 / 09 08: 54:09:9894
"(0.470, 0.342, 0.000)","(0.446, 0.309, 0.000)",No Enfocado,"(-4.77, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:0030
"(0.470, 0.342, 0.000)","(0.446, 0.309, 0.000)",No Enfocado,"(-4.75, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:0172
"(0.470, 0.340, 0.000)","(0.449, 0.306, 0.000)",No Enfocado,"(-4.74, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:0310
"(0.473, 0.340, 0.000)","(0.454, 0.310, 0.000)",No Enfocado,"(-4.72, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:0446
"(0.475, 0.340, 0.000)","(0.455, 0.308, 0.000)",No Enfocado,"(-4.70, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:0588
"(0.476, 0.340, 0.000)","(0.458, 0.307, 0.000)",No Enfocado,"(-4.68, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:0729
"(0.477, 0.340, 0.000)","(0.459, 0.310, 0.000)",No Enfocado,"(-4.65, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:0868
"(0.477, 0.340, 0.000)","(0.459, 0.310, 0.000)",No Enfocado,"(-4.63, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:1001
"(0.479, 0.341, 0.000)","(0.462, 0.310, 0.000)",No Enfocado,"(-4.61, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:1143
"(0.480, 0.343, 0.000)","(0.463, 0.311, 0.000)",No Enfocado,"(-4.59, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:1286
"(0.482, 0.345, 0.000)","(0.467, 0.313, 0.000)",No Enfocado,"(-4.57, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:1423
"(0.485, 0.345, 0.000)","(0.467, 0.313, 0.000)",No Enfocado,"(-4.54, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:1563
"(0.476, 0.348, 0.000)","(0.460, 0.314, 0.000)",No Enfocado,"(-4.52, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:1702
"(0.476, 0.348, 0.000)","(0.460, 0.314, 0.000)",No Enfocado,"(-4.49, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:1833
"(0.447, 0.355, 0.000)","(0.420, 0.317, 0.000)",No Enfocado,"(-4.47, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:1976
"(0.420, 0.365, 0.000)","(0.388, 0.325, 0.000)",Enfocado,"(-4.44, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:2118
"(0.411, 0.370, 0.000)","(0.382, 0.331, 0.000)",Enfocado,"(-4.42, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:2255
"(0.419, 0.371, 0.000)","(0.396, 0.331, 0.000)",Enfocado,"(-4.39, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:2401
"(0.427, 0.371, 0.000)","(0.401, 0.332, 0.000)",Enfocado,"(-4.36, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:2536
"(0.427, 0.371, 0.000)","(0.401, 0.332, 0.000)",Enfocado,"(-4.33, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:2676
"(0.431, 0.369, 0.000)","(0.408, 0.332, 0.000)",Enfocado,"(-4.30, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:2811
"(0.436, 0.369, 0.000)","(0.411, 0.333, 0.000)",Enfocado,"(-4.28, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:2957
"(0.440, 0.368, 0.000)","(0.416, 0.331, 0.000)",Enfocado,"(-4.25, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:3096
"(0.444, 0.367, 0.000)","(0.420, 0.329, 0.000)",Enfocado,"(-4.21, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:3232
"(0.445, 0.364, 0.000)","(0.424, 0.328, 0.000)",Enfocado,"(-4.18, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:3369
"(0.445, 0.364, 0.000)","(0.424, 0.328, 0.000)",Enfocado,"(-4.15, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:3507
"(0.447, 0.363, 0.000)","(0.427, 0.327, 0.000)",Enfocado,"(-4.12, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:3645
"(0.449, 0.364, 0.000)","(0.428, 0.329, 0.000)",Enfocado,"(-4.09, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:3787
"(0.450, 0.364, 0.000)","(0.431, 0.330, 0.000)",Enfocado,"(-4.06, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:3928
"(0.452, 0.366, 0.000)","(0.431, 0.330, 0.000)",Enfocado,"(-4.03, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:4069
"(0.453, 0.366, 0.000)","(0.432, 0.329, 0.000)",Enfocado,"(-3.99, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:4205
"(0.453, 0.366, 0.000)","(0.432, 0.329, 0.000)",Enfocado,"(-3.96, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:4342
"(0.455, 0.362, 0.000)","(0.436, 0.326, 0.000)",Enfocado,"(-3.92, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:4483
"(0.457, 0.362, 0.000)","(0.437, 0.326, 0.000)",Enfocado,"(-3.89, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:4623
"(0.458, 0.360, 0.000)","(0.439, 0.325, 0.000)",Enfocado,"(-3.85, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:4765
"(0.460, 0.360, 0.000)","(0.440, 0.327, 0.000)",Enfocado,"(-3.82, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:4905
"(0.461, 0.362, 0.000)","(0.441, 0.327, 0.000)",Enfocado,"(-3.78, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5041
"(0.461, 0.362, 0.000)","(0.441, 0.327, 0.000)",Enfocado,"(-3.75, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5178
"(0.461, 0.365, 0.000)","(0.439, 0.329, 0.000)",Enfocado,"(-3.71, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5319
"(0.463, 0.364, 0.000)","(0.441, 0.329, 0.000)",Enfocado,"(-3.68, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5457
"(0.464, 0.363, 0.000)","(0.443, 0.328, 0.000)",Enfocado,"(-3.64, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5603
"(0.465, 0.360, 0.000)","(0.446, 0.328, 0.000)",Enfocado,"(-3.60, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5743
"(0.464, 0.362, 0.000)","(0.443, 0.327, 0.000)",Enfocado,"(-3.56, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:5881
"(0.464, 0.362, 0.000)","(0.443, 0.327, 0.000)",Enfocado,"(-3.52, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6017
"(0.459, 0.373, 0.000)","(0.431, 0.338, 0.000)",Enfocado,"(-3.48, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6159
"(0.459, 0.376, 0.000)","(0.432, 0.343, 0.000)",Enfocado,"(-3.45, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6301
"(0.460, 0.376, 0.000)","(0.438, 0.340, 0.000)",Enfocado,"(-3.40, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6437
"(0.461, 0.374, 0.000)","(0.441, 0.337, 0.000)",Enfocado,"(-3.36, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6579
"(0.463, 0.372, 0.000)","(0.440, 0.336, 0.000)",Enfocado,"(-3.33, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6719
"(0.465, 0.371, 0.000)","(0.442, 0.337, 0.000)",Enfocado,"(-3.28, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6855
"(0.465, 0.371, 0.000)","(0.442, 0.337, 0.000)",Enfocado,"(-3.23, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:6993
"(0.466, 0.371, 0.000)","(0.443, 0.337, 0.000)",Enfocado,"(-3.20, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7131
"(0.466, 0.372, 0.000)","(0.444, 0.337, 0.000)",Enfocado,"(-3.16, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7274
"(0.466, 0.372, 0.000)","(0.446, 0.338, 0.000)",Enfocado,"(-3.12, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7410
"(0.467, 0.371, 0.000)","(0.447, 0.338, 0.000)",Enfocado,"(-3.07, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7552
"(0.466, 0.372, 0.000)","(0.448, 0.338, 0.000)",Enfocado,"(-3.03, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7687
"(0.466, 0.372, 0.000)","(0.448, 0.338, 0.000)",Enfocado,"(-2.99, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7824
"(0.467, 0.371, 0.000)","(0.448, 0.337, 0.000)",Enfocado,"(-2.95, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:7969
"(0.468, 0.370, 0.000)","(0.450, 0.337, 0.000)",Enfocado,"(-2.90, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8110
"(0.468, 0.369, 0.000)","(0.450, 0.336, 0.000)",Enfocado,"(-2.86, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8247
"(0.469, 0.368, 0.000)","(0.451, 0.335, 0.000)",Enfocado,"(-2.82, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8389
"(0.471, 0.366, 0.000)","(0.452, 0.334, 0.000)",Enfocado,"(-2.76, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8525
"(0.471, 0.366, 0.000)","(0.452, 0.334, 0.000)",Enfocado,"(-2.72, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8663
"(0.471, 0.367, 0.000)","(0.452, 0.333, 0.000)",Enfocado,"(-2.68, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8801
"(0.471, 0.366, 0.000)","(0.453, 0.333, 0.000)",Enfocado,"(-2.64, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:8946
"(0.470, 0.364, 0.000)","(0.453, 0.333, 0.000)",Enfocado,"(-2.59, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9086
"(0.471, 0.364, 0.000)","(0.453, 0.333, 0.000)",Enfocado,"(-2.54, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9221
"(0.472, 0.366, 0.000)","(0.453, 0.333, 0.000)",Enfocado,"(-2.50, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9364
"(0.472, 0.366, 0.000)","(0.453, 0.333, 0.000)",Enfocado,"(-2.45, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9502
"(0.472, 0.367, 0.000)","(0.452, 0.334, 0.000)",Enfocado,"(-2.40, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9639
"(0.473, 0.368, 0.000)","(0.453, 0.336, 0.000)",Enfocado,"(-2.36, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9780
"(0.473, 0.371, 0.000)","(0.453, 0.338, 0.000)",Enfocado,"(-2.31, 1.40, 5.87)",2023 / 08 / 09 08: 54:10:9919
"(0.473, 0.371, 0.000)","(0.454, 0.339, 0.000)",Enfocado,"(-2.27, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0057
"(0.475, 0.372, 0.000)","(0.455, 0.341, 0.000)",Enfocado,"(-2.21, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0194
"(0.475, 0.372, 0.000)","(0.455, 0.341, 0.000)",Enfocado,"(-2.17, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0332
"(0.475, 0.372, 0.000)","(0.457, 0.340, 0.000)",Enfocado,"(-2.13, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0474
"(0.475, 0.373, 0.000)","(0.456, 0.341, 0.000)",Enfocado,"(-2.08, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0611
"(0.477, 0.373, 0.000)","(0.457, 0.341, 0.000)",Enfocado,"(-2.03, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0754
"(0.477, 0.370, 0.000)","(0.458, 0.339, 0.000)",Enfocado,"(-1.98, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:0892
"(0.478, 0.366, 0.000)","(0.458, 0.335, 0.000)",Enfocado,"(-1.93, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1030
"(0.478, 0.366, 0.000)","(0.458, 0.335, 0.000)",Enfocado,"(-1.88, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1168
"(0.479, 0.361, 0.000)","(0.459, 0.330, 0.000)",Enfocado,"(-1.83, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1309
"(0.480, 0.358, 0.000)","(0.460, 0.328, 0.000)",Enfocado,"(-1.79, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1445
"(0.478, 0.356, 0.000)","(0.459, 0.325, 0.000)",Enfocado,"(-1.74, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1588
"(0.479, 0.355, 0.000)","(0.458, 0.324, 0.000)",Enfocado,"(-1.69, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1727
"(0.480, 0.355, 0.000)","(0.459, 0.324, 0.000)",Enfocado,"(-1.63, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:1866
"(0.480, 0.355, 0.000)","(0.459, 0.324, 0.000)",Enfocado,"(-1.59, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2001
"(0.480, 0.353, 0.000)","(0.460, 0.323, 0.000)",Enfocado,"(-1.54, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2142
"(0.479, 0.351, 0.000)","(0.460, 0.322, 0.000)",Enfocado,"(-1.50, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2284
"(0.478, 0.352, 0.000)","(0.460, 0.322, 0.000)",Enfocado,"(-1.44, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2422
"(0.478, 0.353, 0.000)","(0.459, 0.322, 0.000)",Enfocado,"(-1.39, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2564
"(0.478, 0.353, 0.000)","(0.458, 0.323, 0.000)",Enfocado,"(-1.34, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2704
"(0.478, 0.354, 0.000)","(0.459, 0.322, 0.000)",Enfocado,"(-1.28, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2840
"(0.478, 0.354, 0.000)","(0.459, 0.322, 0.000)",Enfocado,"(-1.23, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:2978
"(0.477, 0.354, 0.000)","(0.459, 0.324, 0.000)",Enfocado,"(-1.19, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:3117
