OjoIzquierdo,OjoDerecho,ObjetoEnfocado,PosicionObjeto,Timestamp
"(0.585, 0.298, 0.000)","(0.564, 0.278, 0.000)",Enfocado,"(3.99, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:9962
"(0.581, 0.298, 0.000)","(0.562, 0.279, 0.000)",Enfocado,"(4.01, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:0105
"(0.578, 0.301, 0.000)","(0.559, 0.279, 0.000)",Enfocado,"(4.03, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:0242
"(0.577, 0.302, 0.000)","(0.556, 0.281, 0.000)",Enfocado,"(4.05, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:0385
"(0.574, 0.303, 0.000)","(0.554, 0.281, 0.000)",Enfocado,"(4.08, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:0524
"(0.574, 0.303, 0.000)","(0.554, 0.281, 0.000)",Enfocado,"(4.10, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:0656
"(0.570, 0.304, 0.000)","(0.551, 0.281, 0.000)",Enfocado,"(4.11, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:0798
"(0.569, 0.304, 0.000)","(0.547, 0.282, 0.000)",Enfocado,"(4.13, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:0941
"(0.565, 0.304, 0.000)","(0.546, 0.281, 0.000)",Enfocado,"(4.15, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:1080
"(0.564, 0.304, 0.000)","(0.542, 0.280, 0.000)",Enfocado,"(4.17, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:1216
"(0.561, 0.304, 0.000)","(0.541, 0.280, 0.000)",Enfocado,"(4.18, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:1359
"(0.561, 0.304, 0.000)","(0.541, 0.280, 0.000)",Enfocado,"(4.20, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:1499
"(0.560, 0.302, 0.000)","(0.538, 0.279, 0.000)",Enfocado,"(4.22, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:1638
"(0.558, 0.302, 0.000)","(0.535, 0.278, 0.000)",Enfocado,"(4.23, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:1779
"(0.554, 0.304, 0.000)","(0.532, 0.279, 0.000)",Enfocado,"(4.24, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:1918
"(0.542, 0.306, 0.000)","(0.522, 0.278, 0.000)",Enfocado,"(4.26, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:2057
"(0.526, 0.307, 0.000)","(0.502, 0.276, 0.000)",Enfocado,"(4.27, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:2191
"(0.526, 0.307, 0.000)","(0.502, 0.276, 0.000)",Enfocado,"(4.28, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:2334
"(0.524, 0.306, 0.000)","(0.500, 0.274, 0.000)",Enfocado,"(4.29, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:2473
"(0.522, 0.306, 0.000)","(0.499, 0.275, 0.000)",Enfocado,"(4.30, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:2610
"(0.519, 0.305, 0.000)","(0.497, 0.273, 0.000)",Enfocado,"(4.31, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:2752
"(0.516, 0.305, 0.000)","(0.493, 0.274, 0.000)",Enfocado,"(4.32, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:2885
"(0.511, 0.305, 0.000)","(0.489, 0.272, 0.000)",Enfocado,"(4.33, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:3018
"(0.511, 0.305, 0.000)","(0.489, 0.272, 0.000)",Enfocado,"(4.34, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:3160
"(0.509, 0.303, 0.000)","(0.486, 0.270, 0.000)",Enfocado,"(4.34, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:3299
"(0.504, 0.302, 0.000)","(0.483, 0.269, 0.000)",Enfocado,"(4.35, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:3438
"(0.500, 0.302, 0.000)","(0.480, 0.268, 0.000)",Enfocado,"(4.36, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:3580
"(0.498, 0.301, 0.000)","(0.476, 0.268, 0.000)",Enfocado,"(4.36, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:3720
"(0.495, 0.302, 0.000)","(0.475, 0.267, 0.000)",Enfocado,"(4.37, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:3859
"(0.495, 0.302, 0.000)","(0.475, 0.267, 0.000)",Enfocado,"(4.37, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:3996
"(0.490, 0.298, 0.000)","(0.470, 0.266, 0.000)",Enfocado,"(4.37, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:4140
"(0.488, 0.298, 0.000)","(0.467, 0.264, 0.000)",Enfocado,"(4.38, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:4283
"(0.485, 0.297, 0.000)","(0.463, 0.263, 0.000)",Enfocado,"(4.38, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:4420
"(0.482, 0.298, 0.000)","(0.460, 0.263, 0.000)",Enfocado,"(4.38, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:4561
"(0.479, 0.300, 0.000)","(0.457, 0.263, 0.000)",Enfocado,"(4.38, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:4702
"(0.479, 0.300, 0.000)","(0.457, 0.263, 0.000)",Enfocado,"(4.38, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:4838
"(0.476, 0.299, 0.000)","(0.456, 0.265, 0.000)",Enfocado,"(4.38, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:4976
"(0.473, 0.299, 0.000)","(0.452, 0.265, 0.000)",Enfocado,"(4.38, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:5118
"(0.470, 0.300, 0.000)","(0.450, 0.265, 0.000)",Enfocado,"(4.37, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:5258
"(0.468, 0.301, 0.000)","(0.447, 0.265, 0.000)",Enfocado,"(4.37, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:5395
"(0.464, 0.302, 0.000)","(0.445, 0.266, 0.000)",Enfocado,"(4.36, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:5535
"(0.464, 0.302, 0.000)","(0.445, 0.266, 0.000)",Enfocado,"(4.36, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:5675
"(0.463, 0.302, 0.000)","(0.445, 0.265, 0.000)",Enfocado,"(4.35, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:5811
"(0.460, 0.302, 0.000)","(0.442, 0.266, 0.000)",Enfocado,"(4.35, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:5954
"(0.459, 0.302, 0.000)","(0.441, 0.267, 0.000)",Enfocado,"(4.34, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:6093
"(0.457, 0.303, 0.000)","(0.439, 0.267, 0.000)",Enfocado,"(4.33, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:6230
"(0.457, 0.304, 0.000)","(0.439, 0.269, 0.000)",Enfocado,"(4.32, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:6371
"(0.457, 0.304, 0.000)","(0.439, 0.269, 0.000)",Enfocado,"(4.31, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:6510
"(0.484, 0.316, 0.000)","(0.458, 0.287, 0.000)",Enfocado,"(4.30, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:6646
"(0.512, 0.337, 0.000)","(0.479, 0.311, 0.000)",Enfocado,"(4.29, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:6790
"(0.520, 0.352, 0.000)","(0.483, 0.330, 0.000)",Enfocado,"(4.28, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:6931
"(0.519, 0.362, 0.000)","(0.485, 0.338, 0.000)",Enfocado,"(4.26, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:7070
"(0.513, 0.363, 0.000)","(0.485, 0.337, 0.000)",Enfocado,"(4.25, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:7203
"(0.513, 0.363, 0.000)","(0.485, 0.337, 0.000)",Enfocado,"(4.24, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:7345
"(0.513, 0.364, 0.000)","(0.486, 0.336, 0.000)",Enfocado,"(4.22, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:7486
"(0.512, 0.361, 0.000)","(0.487, 0.335, 0.000)",Enfocado,"(4.21, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:7625
"(0.510, 0.362, 0.000)","(0.487, 0.335, 0.000)",Enfocado,"(4.19, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:7767
"(0.508, 0.362, 0.000)","(0.487, 0.334, 0.000)",Enfocado,"(4.17, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:7899
"(0.508, 0.361, 0.000)","(0.487, 0.334, 0.000)",Enfocado,"(4.15, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:8032
"(0.508, 0.361, 0.000)","(0.487, 0.334, 0.000)",Enfocado,"(4.14, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:8170
"(0.509, 0.361, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(4.12, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:8308
"(0.508, 0.361, 0.000)","(0.487, 0.333, 0.000)",Enfocado,"(4.10, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:8442
"(0.508, 0.361, 0.000)","(0.488, 0.334, 0.000)",Enfocado,"(4.08, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:8581
"(0.507, 0.361, 0.000)","(0.489, 0.335, 0.000)",Enfocado,"(4.06, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:8720
"(0.507, 0.361, 0.000)","(0.489, 0.334, 0.000)",Enfocado,"(4.04, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:8859
"(0.507, 0.361, 0.000)","(0.489, 0.334, 0.000)",Enfocado,"(4.02, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:8996
"(0.507, 0.361, 0.000)","(0.488, 0.335, 0.000)",Enfocado,"(3.99, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:9138
"(0.509, 0.362, 0.000)","(0.489, 0.334, 0.000)",Enfocado,"(3.97, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:9283
"(0.508, 0.362, 0.000)","(0.488, 0.336, 0.000)",Enfocado,"(3.95, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:9420
"(0.509, 0.363, 0.000)","(0.489, 0.336, 0.000)",Enfocado,"(3.92, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:9559
"(0.508, 0.362, 0.000)","(0.489, 0.336, 0.000)",Enfocado,"(3.90, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:9699
"(0.508, 0.362, 0.000)","(0.489, 0.336, 0.000)",Enfocado,"(3.87, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:9836
"(0.508, 0.363, 0.000)","(0.489, 0.336, 0.000)",Enfocado,"(3.84, 1.40, 5.87)",2023 / 08 / 09 08: 54:13:9979
"(0.510, 0.362, 0.000)","(0.489, 0.336, 0.000)",Enfocado,"(3.82, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:0119
"(0.509, 0.363, 0.000)","(0.489, 0.336, 0.000)",Enfocado,"(3.79, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:0256
"(0.509, 0.363, 0.000)","(0.489, 0.336, 0.000)",Enfocado,"(3.76, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:0398
"(0.509, 0.363, 0.000)","(0.489, 0.336, 0.000)",Enfocado,"(3.73, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:0537
"(0.509, 0.363, 0.000)","(0.489, 0.336, 0.000)",Enfocado,"(3.70, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:0677
"(0.509, 0.363, 0.000)","(0.488, 0.336, 0.000)",Enfocado,"(3.68, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:0814
"(0.509, 0.363, 0.000)","(0.488, 0.336, 0.000)",Enfocado,"(3.65, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:0959
"(0.509, 0.363, 0.000)","(0.488, 0.336, 0.000)",Enfocado,"(3.62, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:1100
"(0.509, 0.361, 0.000)","(0.488, 0.335, 0.000)",Enfocado,"(3.58, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:1237
"(0.510, 0.362, 0.000)","(0.487, 0.335, 0.000)",Enfocado,"(3.55, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:1379
"(0.508, 0.361, 0.000)","(0.486, 0.334, 0.000)",Enfocado,"(3.52, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:1518
"(0.508, 0.361, 0.000)","(0.486, 0.334, 0.000)",Enfocado,"(3.48, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:1652
"(0.509, 0.360, 0.000)","(0.486, 0.334, 0.000)",Enfocado,"(3.45, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:1794
"(0.508, 0.361, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(3.42, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:1933
"(0.509, 0.361, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(3.39, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:2078
"(0.509, 0.361, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(3.35, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:2215
"(0.508, 0.360, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(3.31, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:2356
"(0.508, 0.360, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(3.28, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:2497
"(0.508, 0.360, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(3.24, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:2638
"(0.509, 0.360, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(3.21, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:2782
"(0.509, 0.360, 0.000)","(0.485, 0.333, 0.000)",Enfocado,"(3.17, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:2924
"(0.509, 0.360, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(3.13, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:3063
"(0.508, 0.359, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(3.08, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:3198
"(0.508, 0.359, 0.000)","(0.486, 0.333, 0.000)",Enfocado,"(3.05, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:3339
"(0.508, 0.359, 0.000)","(0.487, 0.331, 0.000)",Enfocado,"(3.01, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:3480
"(0.508, 0.358, 0.000)","(0.486, 0.329, 0.000)",Enfocado,"(2.97, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:3619
"(0.509, 0.358, 0.000)","(0.486, 0.330, 0.000)",Enfocado,"(2.93, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:3763
"(0.507, 0.352, 0.000)","(0.485, 0.327, 0.000)",Enfocado,"(2.89, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:3902
"(0.499, 0.328, 0.000)","(0.477, 0.299, 0.000)",Enfocado,"(2.85, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:4039
"(0.499, 0.328, 0.000)","(0.477, 0.299, 0.000)",Enfocado,"(2.81, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:4179
"(0.492, 0.298, 0.000)","(0.468, 0.266, 0.000)",Enfocado,"(2.77, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:4314
"(0.489, 0.289, 0.000)","(0.469, 0.257, 0.000)",Enfocado,"(2.73, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:4452
"(0.490, 0.293, 0.000)","(0.472, 0.259, 0.000)",Enfocado,"(2.68, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:4593
"(0.492, 0.295, 0.000)","(0.473, 0.261, 0.000)",Enfocado,"(2.64, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:4733
"(0.494, 0.294, 0.000)","(0.475, 0.261, 0.000)",Enfocado,"(2.60, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:4870
"(0.495, 0.295, 0.000)","(0.478, 0.262, 0.000)",Enfocado,"(2.56, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:5007
"(0.495, 0.295, 0.000)","(0.478, 0.262, 0.000)",Enfocado,"(2.51, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:5148
"(0.495, 0.294, 0.000)","(0.478, 0.262, 0.000)",Enfocado,"(2.47, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:5288
"(0.497, 0.295, 0.000)","(0.479, 0.263, 0.000)",Enfocado,"(2.43, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:5426
"(0.496, 0.295, 0.000)","(0.480, 0.263, 0.000)",Enfocado,"(2.38, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:5568
"(0.499, 0.295, 0.000)","(0.482, 0.263, 0.000)",Enfocado,"(2.34, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:5702
"(0.499, 0.295, 0.000)","(0.482, 0.263, 0.000)",Enfocado,"(2.29, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:5837
"(0.500, 0.293, 0.000)","(0.482, 0.263, 0.000)",Enfocado,"(2.24, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:5980
"(0.500, 0.294, 0.000)","(0.485, 0.262, 0.000)",Enfocado,"(2.20, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:6121
"(0.501, 0.294, 0.000)","(0.485, 0.264, 0.000)",Enfocado,"(2.16, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:6259
"(0.504, 0.293, 0.000)","(0.487, 0.263, 0.000)",Enfocado,"(2.11, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:6404
"(0.504, 0.294, 0.000)","(0.489, 0.263, 0.000)",Enfocado,"(2.06, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:6543
"(0.506, 0.293, 0.000)","(0.490, 0.262, 0.000)",Enfocado,"(2.01, 1.40, 5.87)",2023 / 08 / 09 08: 54:14:6681
